created_at,entry_id,field1,field2,field3
2018-10-28 09:22:02 UTC,166,0.18,5.15,6644.65
2018-10-28 09:23:03 UTC,167,0.17,5.94,8746.31
2018-10-28 09:24:04 UTC,168,0.17,6.21,6267.87
2018-10-28 09:25:06 UTC,169,0.17,6.21,7112.92
2018-10-28 09:26:06 UTC,170,0.17,6.21,6312.19
2018-10-28 09:27:07 UTC,171,0.17,6.21,7662.13
2018-10-28 09:28:08 UTC,172,0.19,5.15,5721.97
2018-10-28 09:29:08 UTC,173,0.18,5.41,7804.78
2018-10-28 09:30:09 UTC,174,0.17,5.94,11621.08
2018-10-28 09:31:10 UTC,175,0.17,5.94,5472.99
2018-10-28 09:32:11 UTC,176,0.17,6.21,6750.85
2018-10-28 09:33:13 UTC,177,0.18,5.41,6328.91
2018-10-28 09:34:14 UTC,178,0.17,5.94,7545.64
2018-10-28 09:35:15 UTC,179,0.17,6.21,6877.04
2018-10-28 09:36:16 UTC,180,0.17,5.94,9242.53
2018-10-28 09:37:18 UTC,181,0.19,5.15,9429.53
2018-10-28 09:38:18 UTC,182,0.19,5.94,8251.32
2018-10-28 09:39:19 UTC,183,0.17,5.94,5703.65
2018-10-28 09:40:20 UTC,184,0.19,4.89,9481.33
2018-10-28 09:41:21 UTC,185,0.18,5.94,6531.65
2018-10-28 09:42:21 UTC,186,0.19,5.41,8502.12
2018-10-28 09:43:22 UTC,187,0.18,5.94,7420.87
2018-10-28 09:44:23 UTC,188,0.18,5.94,9320.73
2018-10-28 09:45:25 UTC,189,0.18,5.94,7329.70
2018-10-28 09:46:26 UTC,190,0.18,5.94,7191.95
2018-10-28 09:47:27 UTC,191,0.18,5.94,7179.00
2018-10-28 09:48:28 UTC,192,0.18,5.67,6928.39
2018-10-28 09:49:29 UTC,193,0.18,5.67,6110.05
2018-10-28 09:50:29 UTC,194,0.18,5.67,7876.35
2018-10-28 09:51:31 UTC,195,0.18,5.94,6454.29
2018-10-28 09:52:32 UTC,196,0.18,5.67,6931.58
2018-10-28 09:53:32 UTC,197,0.18,5.94,7108.41
2018-10-28 09:54:34 UTC,198,0.18,5.67,8047.19
2018-10-28 09:55:35 UTC,199,0.18,5.67,8164.85
2018-10-28 09:56:36 UTC,200,0.18,5.67,9825.14
2018-10-28 09:57:37 UTC,201,0.18,5.67,9224.06
2018-10-28 09:58:38 UTC,202,0.18,5.67,7474.68
2018-10-28 09:59:39 UTC,203,0.18,5.67,6793.39
2018-10-28 10:00:40 UTC,204,0.19,5.67,4879.46
2018-10-28 10:01:41 UTC,205,0.19,5.67,7972.99
2018-10-28 10:02:42 UTC,206,0.19,5.67,7720.47
2018-10-28 10:03:43 UTC,207,0.19,5.67,6230.83
2018-10-28 10:04:43 UTC,208,0.21,4.64,7183.56
2018-10-28 10:05:44 UTC,209,0.19,5.67,6752.75
2018-10-28 10:06:45 UTC,210,0.19,5.67,7380.66
2018-10-28 10:07:46 UTC,211,0.19,5.41,8095.48
2018-10-28 10:08:47 UTC,212,0.19,5.41,8248.30
2018-10-28 10:09:48 UTC,213,0.19,5.67,8245.52
2018-10-28 10:10:49 UTC,214,0.19,5.67,7452.83
2018-10-28 10:11:51 UTC,215,0.19,5.41,7316.63
2018-10-28 10:12:52 UTC,216,0.19,5.41,7664.14
2018-10-28 10:13:53 UTC,217,0.20,5.41,8572.64
2018-10-28 10:14:54 UTC,218,0.20,5.41,6449.98
2018-10-28 10:15:56 UTC,219,0.20,5.41,6129.63
2018-10-28 10:16:56 UTC,220,0.20,5.41,7158.83
2018-10-28 10:17:57 UTC,221,0.20,5.41,10618.77
2018-10-28 10:18:58 UTC,222,0.20,5.41,8144.80
2018-10-28 10:19:59 UTC,223,0.20,5.41,9404.89
2018-10-28 10:21:00 UTC,224,0.21,5.15,6978.54
2018-10-28 10:22:01 UTC,225,0.20,5.41,5524.39
2018-10-28 10:23:02 UTC,226,0.20,5.41,7782.69
2018-10-28 10:24:03 UTC,227,0.20,5.41,7554.35
2018-10-28 10:25:04 UTC,228,0.20,5.41,6904.54
2018-10-28 10:26:05 UTC,229,0.20,5.41,6248.45
2018-10-28 10:27:06 UTC,230,0.20,5.41,6256.62
2018-10-28 10:28:07 UTC,231,0.20,5.41,7759.80
2018-10-28 10:29:08 UTC,232,0.20,5.41,5083.30
2018-10-28 10:30:09 UTC,233,0.20,5.41,9685.58
2018-10-28 10:31:09 UTC,234,0.20,5.41,7326.37
2018-10-28 10:32:10 UTC,235,0.20,5.41,8007.09
2018-10-28 10:33:10 UTC,236,0.22,4.64,8238.82
2018-10-28 10:34:10 UTC,237,0.20,5.41,7603.00
2018-10-28 10:35:11 UTC,238,0.20,5.41,8026.97
2018-10-28 10:36:12 UTC,239,0.20,5.41,6755.74
2018-10-28 10:37:12 UTC,240,0.20,5.41,8177.43
2018-10-28 10:38:13 UTC,241,0.20,5.41,8134.47
2018-10-28 10:39:14 UTC,242,0.20,5.41,6719.33
2018-10-28 10:40:15 UTC,243,0.21,5.41,10327.27
2018-10-28 10:41:15 UTC,244,0.20,5.15,6648.66
2018-10-28 10:42:16 UTC,245,0.21,5.15,7379.34
2018-10-28 10:43:16 UTC,246,0.23,4.39,5419.61
2018-10-28 10:44:17 UTC,247,0.21,5.15,7192.00
2018-10-28 10:45:18 UTC,248,0.21,5.15,8548.92
2018-10-28 10:46:19 UTC,249,0.21,5.15,8310.50
2018-10-28 10:47:19 UTC,250,0.21,5.15,7885.51
2018-10-28 10:48:20 UTC,251,0.21,5.15,7825.95
2018-10-28 10:49:20 UTC,252,0.21,5.15,6639.46
2018-10-28 10:50:22 UTC,253,0.21,5.15,10298.04
2018-10-28 10:51:22 UTC,254,0.21,5.15,7802.91
2018-10-28 10:52:23 UTC,255,0.24,4.39,8954.18
2018-10-28 10:53:23 UTC,256,0.22,5.15,5991.58
2018-10-28 10:54:24 UTC,257,0.22,4.89,8745.33
2018-10-28 10:55:27 UTC,258,0.24,4.39,7943.79
2018-10-28 10:56:27 UTC,259,0.22,5.15,7372.32
2018-10-28 10:57:29 UTC,260,0.22,5.15,6194.51
2018-10-28 10:58:29 UTC,261,0.22,5.15,9236.93
2018-10-28 10:59:30 UTC,262,0.24,4.39,5279.89
2018-10-28 11:00:31 UTC,263,0.24,4.64,6079.01
2018-10-28 11:01:32 UTC,264,0.22,4.89,14760.45
2018-10-28 11:02:32 UTC,265,0.22,5.15,17873.73
2018-10-28 11:03:34 UTC,266,0.22,5.41,15489.94
2018-10-28 11:04:34 UTC,267,0.24,4.39,37000.71
2018-10-28 11:05:35 UTC,268,0.21,5.41,44239.92
2018-10-28 11:06:36 UTC,269,0.23,5.15,23617.70
2018-10-28 11:07:36 UTC,270,0.20,9.59,31728.56
2018-10-28 11:08:36 UTC,271,0.15,34.47,46629.64
2018-10-28 11:09:36 UTC,272,0.08,86.53,24268.40
2018-10-28 11:10:37 UTC,273,0.04,171.52,26762.04
2018-10-28 11:11:38 UTC,274,0.03,171.52,26886.48
2018-10-28 11:12:38 UTC,275,0.03,134.56,9911.97
2018-10-28 11:13:40 UTC,276,0.03,94.57,7840.88
2018-10-28 11:14:40 UTC,277,0.03,79.42,8609.67
2018-10-28 11:15:41 UTC,278,0.03,75.98,10466.92
2018-10-28 11:16:41 UTC,279,0.03,55.81,12996.91
2018-10-28 11:17:42 UTC,280,0.03,56.81,8684.01
2018-10-28 11:18:42 UTC,281,0.03,49.06,10565.22
2018-10-28 11:19:43 UTC,282,0.03,40.87,10878.87
2018-10-28 11:20:44 UTC,283,0.03,126.95,8651.78
2018-10-28 11:21:45 UTC,284,0.02,214.98,9582.13
2018-10-28 11:22:45 UTC,285,0.02,101.68,13420.89
2018-10-28 11:23:46 UTC,286,0.02,119.60,8098.10
2018-10-28 11:24:47 UTC,287,0.02,80.58,6401.02
2018-10-28 11:25:47 UTC,288,0.02,84.12,10736.25
2018-10-28 11:26:47 UTC,289,0.03,67.69,9093.45
2018-10-28 11:27:47 UTC,290,0.03,56.81,7682.77
2018-10-28 11:28:48 UTC,291,0.03,61.37,7093.95
2018-10-28 11:29:49 UTC,292,0.03,78.26,8595.92
2018-10-28 11:30:49 UTC,293,0.03,101.02,9063.86
2018-10-28 11:31:50 UTC,294,0.03,139.26,15930.81
2018-10-28 11:32:51 UTC,295,0.02,282.07,7571.74
2018-10-28 11:33:51 UTC,296,0.03,85.32,7635.33
2018-10-28 11:34:52 UTC,297,0.03,37.41,8005.08
2018-10-28 11:35:53 UTC,298,0.04,27.68,25069.19
2018-10-28 11:36:54 UTC,299,0.04,19.94,11810.14
2018-10-28 11:37:55 UTC,300,0.05,14.53,13089.96
2018-10-28 11:38:56 UTC,301,0.05,14.21,12939.31
2018-10-28 11:39:56 UTC,302,0.06,10.78,14183.14
2018-10-28 11:40:57 UTC,303,0.05,11.69,9158.37
2018-10-28 11:41:58 UTC,304,0.06,10.18,13037.75
2018-10-28 11:42:58 UTC,305,0.06,9.29,10935.63
2018-10-28 11:43:59 UTC,306,0.06,9.88,12934.03
2018-10-28 11:44:59 UTC,307,0.07,9.59,8089.71
2018-10-28 11:46:00 UTC,308,0.07,9.29,12802.94
2018-10-28 11:47:00 UTC,309,0.07,8.71,7775.56
2018-10-28 11:48:01 UTC,310,0.07,8.43,9224.94
2018-10-28 11:49:02 UTC,311,0.07,8.43,9965.26
2018-10-28 11:50:03 UTC,312,0.08,8.14,16198.16
2018-10-28 11:51:04 UTC,313,0.09,5.94,25772.05
2018-10-28 11:52:05 UTC,314,0.08,7.86,15642.97
2018-10-28 11:53:06 UTC,315,0.08,7.30,12794.99
2018-10-28 11:54:07 UTC,316,0.09,6.21,13197.17
2018-10-28 11:55:07 UTC,317,0.09,6.21,9874.44
2018-10-28 11:56:08 UTC,318,0.10,5.94,14038.85
2018-10-28 11:57:09 UTC,319,0.09,6.75,12090.37
2018-10-28 11:58:11 UTC,320,0.09,6.75,20234.87
2018-10-28 11:59:11 UTC,321,0.10,5.94,13688.87
2018-10-28 12:00:12 UTC,322,0.10,5.67,21147.05
2018-10-28 12:01:12 UTC,323,0.10,6.75,15663.00
2018-10-28 12:02:13 UTC,324,0.10,6.48,14130.54
2018-10-28 12:03:14 UTC,325,0.10,6.48,15266.68
2018-10-28 12:04:15 UTC,326,0.10,6.21,18969.86
2018-10-28 12:05:16 UTC,327,0.10,6.48,14771.37
2018-10-28 12:06:16 UTC,328,0.10,6.21,14724.09
2018-10-28 12:07:17 UTC,329,0.10,6.21,12767.93
2018-10-28 12:08:17 UTC,330,0.11,5.94,8828.73
2018-10-28 12:09:18 UTC,331,0.11,5.94,8590.97
2018-10-28 12:10:19 UTC,332,0.11,5.94,8496.85
2018-10-28 12:11:19 UTC,333,0.11,5.67,6207.76
2018-10-28 12:12:20 UTC,334,0.11,5.67,10746.13
2018-10-28 12:13:21 UTC,335,0.12,5.41,62984.83
2018-10-28 12:14:22 UTC,336,0.13,4.89,57679.53
2018-10-28 12:15:23 UTC,337,0.13,4.64,24056.46
2018-10-28 12:16:24 UTC,338,0.12,4.89,21140.44
2018-10-28 12:17:24 UTC,339,0.13,4.89,13068.49
2018-10-28 12:18:25 UTC,340,0.12,5.41,11671.72
2018-10-28 12:19:26 UTC,341,0.12,5.41,8898.38
2018-10-28 12:20:27 UTC,342,0.12,5.41,8528.61
2018-10-28 12:21:28 UTC,343,0.12,5.15,10796.86
2018-10-28 12:22:29 UTC,344,0.13,4.64,11140.83
2018-10-28 12:23:30 UTC,345,0.13,5.15,11594.09
2018-10-28 12:24:30 UTC,346,0.13,5.41,11239.73
2018-10-28 12:25:31 UTC,347,0.13,5.15,14298.28
2018-10-28 12:26:32 UTC,348,0.14,4.39,9630.81
2018-10-28 12:27:33 UTC,349,0.13,5.15,11292.31
2018-10-28 12:28:33 UTC,350,0.13,4.89,15011.27
2018-10-28 12:29:34 UTC,351,0.14,4.39,8830.15
2018-10-28 12:30:34 UTC,352,0.14,4.14,13347.70
2018-10-28 12:31:36 UTC,353,0.13,4.89,14540.39
2018-10-28 12:32:37 UTC,354,0.14,4.89,12618.82
2018-10-28 12:33:38 UTC,355,0.14,4.89,16382.77
2018-10-28 12:34:39 UTC,356,0.14,4.89,10912.80
2018-10-28 12:35:40 UTC,357,0.14,4.89,9022.00
2018-10-28 12:36:40 UTC,358,0.14,4.89,11315.92
2018-10-28 12:37:41 UTC,359,0.14,4.89,9650.38
2018-10-28 12:38:41 UTC,360,0.14,4.89,9208.67
2018-10-28 12:39:42 UTC,361,0.14,4.89,14287.42
2018-10-28 12:40:43 UTC,362,0.14,4.64,8907.95
2018-10-28 12:41:43 UTC,363,0.14,4.89,11045.76
2018-10-28 12:42:44 UTC,364,0.15,4.64,10171.32
2018-10-28 12:43:44 UTC,365,0.16,4.14,10717.45
2018-10-28 12:44:45 UTC,366,0.15,4.64,11674.82
2018-10-28 12:45:45 UTC,367,0.15,4.64,10549.29
2018-10-28 12:46:47 UTC,368,0.15,4.39,11245.93
2018-10-28 12:47:47 UTC,369,0.15,4.64,10331.03
2018-10-28 12:48:48 UTC,370,0.15,4.64,8902.85
2018-10-28 12:49:48 UTC,371,0.16,3.89,9553.09
